Identifier,UniqueId,Name,Description,ReferencePointPeriods_0_StandardIdentifier,ReferencePointPeriods_0_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_0_ValidFrom,ReferencePointPeriods_0_Unit,ReferencePointPeriods_0_Elevation,ReferencePointPeriods_0_Uncertainty,ReferencePointPeriods_0_MeasurementDirection,ReferencePointPeriods_0_AppliedTime,ReferencePointPeriods_0_AppliedByUser,PrimarySinceDate,ReferencePointPeriods_0_Comment,ReferencePointPeriods_1_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_1_ValidFrom,ReferencePointPeriods_1_Unit,ReferencePointPeriods_1_Elevation,ReferencePointPeriods_1_MeasurementDirection,ReferencePointPeriods_1_AppliedTime,ReferencePointPeriods_1_AppliedByUser,Latitude,Longitude,ReferencePointPeriods_0_Method,DecommissionedDate,DecommissionedReason,ReferencePointPeriods_1_StandardIdentifier,ReferencePointPeriods_1_Comment,DisplayOrder
000060,5cda9d385ad0403a9129e3729ffbeba2,Ref point is 0.3ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0.3,,FromBottomToTop,2021-04-30T22:42:45.8009720+00:00,admin,,,,,,,,,,,,,,,,,
000061,774c1fb10183462d861bc24cc42b0ed9,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.8191472+00:00,admin,,,,,,,,,,,,,,,,,
000064,edc7d153df4d4bd9b66d26898184320a,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.8378720+00:00,admin,,,,,,,,,,,,,,,,,
000065,e622e192540248c69182b78024b65d5d,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.8561700+00:00,admin,,,,,,,,,,,,,,,,,
000066,28512de6dc8d4994933d8e1f68bbfdea,Ref point is 0.85ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0.85,,FromBottomToTop,2021-04-30T22:42:45.8738930+00:00,admin,,,,,,,,,,,,,,,,,
000066,69668f04abb7472ca10300ab31868867,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.8898460+00:00,admin,,,,,,,,,,,,,,,,,
000068,03fc7d0de5cc4feca666e35458126cb3,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.9092350+00:00,admin,,,,,,,,,,,,,,,,,
000069,29eaacb89f8a42bfb2815e9633e7abe4,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.9287370+00:00,admin,,,,,,,,,,,,,,,,,
000069,51fbd18a63d3423e81312710fee808b8,Ref point is 2.6ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,2.6,,FromBottomToTop,2021-04-30T22:42:45.9442070+00:00,admin,,,,,,,,,,,,,,,,,
000070,9007d9735713415b946453ea86f27422,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.9633830+00:00,admin,,,,,,,,,,,,,,,,,
000070,5814df3d09ec4cb0872cb41b44799660,Ref point is 2.25ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,2.25,,FromBottomToTop,2021-04-30T22:42:45.9796100+00:00,admin,,,,,,,,,,,,,,,,,
